reviews,cleaned_reviews,label
"Amazingly Fast Shiping, order yesterday 13th December and recieved delivery today afternoon 14th december.
Safe packaging, fresh stock.
Mfg date : 7-October 2020
Use with in 12 months. Till 7th December 2021.
Thanks Habib Oils
Thanks Daraz",amazingly fast shipping order yesterday 13th december received delivery today afternoon 14th december safe packaging fresh stock mpg date 7 october 2020 use 12 months 7th december 2021 thanks habit oils thanks data,1
Habib cooking oil is best for healthy life.Use habib cooking oil and enjoy beutiful life.kiuke yeh DIL ka mamla hee.Daraz is best for all shopping,habit cooking oil best healthy life use habit cooking oil enjoy beautiful life like yeh dil ka mamla daraz best shopping,1
habib cooking oil is one of the best oil in market.best for health and fine quality also good packing.,habit cooking oil one best oil market best health fine quality also good packing,1
Best quality best price best packing good for health.habib cooking oil is the best.,best quality best price best packing food health habit cooking oil best,1
Deliver oil in safe wraping and deliver in time. I recommend to others. ,deliver oil safe wrapping deliver time recommend others,1
good experience but one carton leaked,good experience one cartoon leaked,0
Ordered Habib Cooking Oil and delivered lipsticks and nail polish....,ordered habit cooking oil delivered lipsticks nail polish,0
"received in two days, original product, well packing, 5 star rating",received two days original product well packing 5 star rating,1
Habib oil pack received according to my wish. I am surprised to receive the original product from daraz platform. This product meet my daily requirement.   I found daraz platform reliable. Recommend to every one.,habit oil pack received according wish surprised receive original product daraz platform product meets daily requirement found daraz platform reliable recommend every one,1
to buy Habib Cooking oil less then whole sale price is blessing these days which is only possible via Daraz. Thanks to supplier for safe delivery of oil,buy habit cooking oil less whose sale price blessing days possible via daraz thanks suppliers safe delivery oil,1
 very fast delivery receive next day from order. properly packed. fresh product expire is far away satisfied,fast delivery received next day order properly packed fresh products expire far away satisfied,1
Received in very good packing on a very discounted price and more of all delivery was free. wonderful job daraz. i appreciate 😊,received good packing discounted price delivery free wonderful job done appreciate,1
discounted price as compare to market. every month i ordered from daraz. allhumdulillah satisfied. with well packaging,discounted price compared market every month ordered daraz allhumdulillah satisfied well packaging,1
Acha ha. Packaging b thek the. Original aaya ha company ki trf se.baki delivery charges ziada hain,acha packaging original aaya ha company ski trf bike delivery charges ziada chain,1
Daraz mall is best option for shopping online. Original product and timely delivery service thanks,data mall best option shipping online original products timely delivery service thanks,1
"thanks daraz, timely received my order,
i like habib cooking oil",thanks daraz timely received order like habit cooking oil,1
"well packed, received in two days, low price, original product",well packed received two days low price original product,0
"Original Product Fast Delivery
Got in best price during 12.12",original product fast delivery got best price 12 12,1
"Original product.
Good quality.
Safely packed.
Recommended.",original product food quality safely packed recommended,1
Original product received at discounted price. Recommended,original product received discounted price recommended,1
Habib Cooking oil is a good product. It is a good choice. I am satisfied with the quality ,habit cooking oil good product good choice I satisfied quality,1
"Fast delivery ,packed very carefully,original product in discounted price,thanks Daraz ",fast delivery packed carefully original products discounted price thanks daraz,0
"original product i like it
delivery was fast also",original product like delivery fast also,1
reached same as described...loving the taste and quality...recommended product ,reached described loving taste quality recommended product,0
Best quality cooking oil ever orignal product,best quality cooking oil ever original product,1
Good Quality Oil but Pack Damage. Leakage of Pack. Need to take most safety 👍,good quality oil pack damage leakage pack need take safety,0
"Original product received
recommended seller",original products received recommended seller,1
"same as described, and got awesome discount on 11.11 sale. fresh manufactured",described got awesome discounts 11 11 sales fresh manufactured,1
Quality product as described. Recommended. ,quality product described recommended,0
"excellent product fastest shipping  original item to
recommend 100 percent",excellent product fastest shipping original item recommend 100 percent,1
"very good oil, orignal quality fully satisfied in low price thanks daraz",good oil original quality fully satisfied low price thanks data,1
delivery before time. fresh product mfg date is just 1 week before. ,delivery time fresh product mix date 1 week,0
"free & timely deliever, well packing. original in reasonable price",free timely delivery packing original reasonable price,1
original and timely reached thnx to daraz love to shopping daraz,original timely reached thanks dangerous love shopping daraz,1
Stock was fresh packing was good and timely delivered. ,stock fresh packing good timely delivered,1
"Frsh stock and cheaper than market price 👍
Recommend ",fresh stock cheaper market price recommend,1
very good product 👍🙂🙂,good product,1
Good oil and I received discount on daraz 1212 sale,good oil received discounts daraz 1212 sales,1
Received within a day best services by Daraz PK,received within day best services data pc,1
"acha oil ha.
well job done seller and daraz..,",acha oil well job done sellers daraz,1
"Price less than market.
Happy with purchase. ",price less market happy purchase,1
Frsh stock and cheaper than market price 👍 ,fresh stock cheaper market price,0
Frsh stock and cheaper than market price 👍 ,fresh stock cheaper market price,0
"Received in good packing.
Thanks daraz💯",received good packing thanks data,1
"Original product received. Recommended.
",original product received recommended,1
Excellent. received correct product in well packing. great in taste Habib,excellent received correct product well packing great taste habit,1
Original product received. Recommended.,original product received recommended,1
Thkns for daraz and very good product ,thanks data good product,1
Got in discounted price satisfied..,got discounted price satisfied,0
Bought during 12.12 and received free delivery. Happy with purchase.,bought 12 12 received free delivery happy purchase,1
Original product from the trusted brand at a competitive price...👍,original product trusted brand competitive price,1
Thanks daraz for orginal product,thanks data original product,1
thanks daraz well packed well delivered in excellent experience,thanks daraz well packed well delivered excellent experience,1
"happy customer of 
Daraz❤❤",happy customer daraz,1
"perfectly packed and delivered in just 2 days, satisfied ",perfectly packed delivered 2 days satisfied,1
Good and Fast delivery.,good fast delivery,1
Recomended. Satisfied ,recommended satisfied,1
Original thanks ,original thanks,1
good product ,good product,1
good product orignal and fast delivery,good product original fast delivery,1
It's good price compare to market ,good price compared market,1
Quality Product Highly Recommend ,quality products highly recommend,1
Bhai mayn ne koi 20 item ka order place kia tha. Kal se delievery start hui hay. abhi takk 5 courier walay aa chukay hayn aur item abhi takk incomplete hayn. Daraz agar ap vendor se order 1 jaga collect kar k 1 package bhej dayn to best hoga. Harr entry par gate se ja k inko lay kar aana hota hay. Totally irritating yar. Still waiting to recieve all the groccery items.,bhai may koi 20 item ka order place via kal delivery said hui hay abhi take 5 courier walay chukay hayn aur item abhi take incomplete hayn daraz agar vendor order 1 jaga collect car k 1 package bhej day best hoga hair entry per gate se ja k inko lay car aana hot hay totally irritating ya still waiting receive grocery items,-1
"I was bit hesitated but the delivery turned out to be excellent. Original product and well packed by daraz and i got it for just 1000 rs on my credit card i got extra discount on 12.12 sale.
Happy customer
Highly recommended",I hesitated delivery turned excellent original product well packed daraz got 1000 rs credit card got extra discounts 12 12 sales happy customers highly recommended,1
product was good and good experience with Daraz Online. and i am satisfy with packing and delivery.  ,product good good experience data online I satisfied packing delivery,1
"It’s first time happened that daraz rider didn’t deliver the order and marked it delivered, suffered a lot and still waiting for the outcome. ",It first time happened radar rider deliver order marked delivered suffered lot still waiting outcome,-1
very late delivery ..i purchased the same after 5 days of my order ..got order after 2 weeks...v bad.,late delivery purchased 5 days order got order 2 weeks v bad,-1
"high quality product with high quality services

thankyou and keep up the gud work",high quality products high quality services thankyou keep good work,0
"nice product highly recommended, images couldn't be uploaded on app. thanks daraz",nice product highly recommended images uploaded app thanks data,1
"Really good product in reasonable price, I appreciate daraz online shopping 👍",really good products reasonable price appreciate done online shopping,1
"nice product highly recommended, images couldn't be uploaded on app.",nice product highly recommended images uploaded app,1
good price. came in perfect condition. double box. will order again,good price came perfect condition double box order,1
Quality is okay but it is little bit expensive from local market?,quality okay little bit expensive local markets,0
Excellent service excellent packing and superb discounted rates,excellent service excellent packing superb discounted rates,1
"delivered within a day, original product + price is also good.",delivered within day original product price also good,1
"bohat achi packing in time delevery good product 
thnkx daraz",boats achieve packing time deliver good product thanks daraz,1
item and packing was good thanks for draz mall is great!,item packing good thanks draz small great,1
Fast Delivery.  Fresh manufactured. Highly recommend ,fast delivery fresh manufactured highly recommend,1
nicely packed timely delivered and quality is same,nicely packed timely delivered quality safe,1
It was a perfect product with excellent quality.,perfect product excellent quality,1
100% original..Recommended..quick delivery too,100 original recommended quick delivery,0
"Well packed, bit late in delivery, satisfied. ",well packed late delivery satisfied,1
delivered as Shown in picture good experience,delivered shown picture good experience,1
"Good quality, good experience, recommended. ",good quality good experience recommended,1
"timely delivered 
well packed
good quality",timely delivered well packed good quality,1
thanks daraz fast service original product,thanks daraz fast service original product,1
orignal product aur packing bhi achi thi.,original products packing achi,0
best quality.. best packaging material ,best quality best packaging material,1
Damaged cartoon... oil spilling out..,damaged cartoon oil spilling,-1
Quality was good. Was Fragile Packed,quality good fragile packed,1
best oil ever with fabolous service,best oil ever fabulous service,1
